param n := 20;
param m := 20;

param a: 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 :=
  1   	 1  1  0  0  0 	1  1  0  0  0  0  0  0  0  1  0	 1  0  1  0
  2	 0  0  1  1  1	0  0  0	 1  1  0  0  0  1  0  1	 1  0  0  1
  3	 0  1  1  0  0	0  0  1	 0  0  1  0  1	0  0  1	 0  1  0  0
  4	 1  0  0  1  0	1  0  0	 0  0  1  1  1	1  0  0	 0  0  0  0
  5	 0  1  0  0  1	0  1  0	 1  0  0  0  0	0  0  0	 1  1  0  1
  6	 0  0  0  1  1	1  0  1	 1  0  0  1  0	0  0  0	 0  1  0  0
  7	 0  0  0  1  0	0  1  0	 1  1  0  1  0	0  0  1	 1  1  1  0
  8	 0  1  1  1  0	0  1  0	 1  0  0  0  1	0  0  0	 0  1  1  0
  9	 0  1  0  0  1	0  0  0	 1  1  0  1  0	0  0  1	 1  0  0  1
  10	 1  0  0  1  0	1  0  1	 0  0  1  1  0	0  0  1	 1  0  0  0
  11	 1  0  0  0  0	0  0  0	 0  0  0  0  0	0  0  0	 0  0  0  0
  12	 0  1  0  0  1	0  0  1	 0  0  0  0  0	1  0  1	 0  0  1  0
  13	 0  1  1  0  0	1  1  0	 1  1  1  1  0	0  0  1	 1  0  0  0
  14	 0  1  0  1  0	0  0  0	 1  1  1  0  0	1  0  0	 0  0  1  0
  15	 1  0  1  0  0	1  0  1	 0  0  1  1  0	0  0  0	 0  0  1  0
  16	 0  0  0  0  1	0  1  0	 0  1  1  1  1	0  1  0	 1  0  0  1
  17	 0  1  0  1  1	0  0  0	 0  1  0  0  0	0  1  0	 0  0  1  0
  18	 0  1  0  1  1	0  0  1	 1  0  0  1  0	0  1  0	 0  1  0  0
  19	 0  1  0  0  1	0  1  0	 1  0  1  0  0	0  0  0	 1  1  1  0
  20	 0  0  1  0  0	1  0  0	 1  1  0  0  0	0  1  0	 0  1  1  1;

end;
